Major,Major_Classes,course-heading,Field1_link,Credits,Course Description,Additional Information
Accounting,https://spu.edu/undergraduate-time-schedule/subjects/ACCT?,"ACCT 2361: Financial Accounting
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=e59939a0056c94a22b99f67db8885bde&subj=ACCT&crse_numb=2361&start_term=&end_term=&term_year=20234,5,"Makes clear the ways in which accounting is an information development and communication function that supports economic decision making, and prepares students for subsequent learning. Not recommended for first-quarter freshmen.","Add to calendar
                
                 
                
                
                
                
                
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Online
                
                
                    Note: Combined Parts A & B"
Accounting,https://spu.edu/undergraduate-time-schedule/subjects/ACCT?,"ACCT 2362: Managerial Accounting
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=c66cace335a78c1f293a39903cc589f6&subj=ACCT&crse_numb=2362&start_term=&end_term=&term_year=20234,5,"Develops basic concepts and skills for preparing accounting information for managerial decision-making purposes. Computer spreadsheet skills are required. Typically offered: Autumn, Winter, Spring.","Add to calendar
                
                 
                
                
                
                
                
                
                
                    Grade Modes: (Default) Normal Grading
                
                
                    Instructional Methods: Online
                
                
                    Note: Combined Parts F & G
                
                
                
                    
                    Prerequisites: ACCT 2361: C- or betterAND (BUS 2700: C- or betterOR MAT 2700: C- or better)AND (BUS 1700: C- or betterOR Spreadsheets Competency: P or better)"
Accounting,https://spu.edu/undergraduate-time-schedule/subjects/ACCT?,"ACCT 3327: Cost Accounting
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=2f149a525b50e3faee70f136cb4ef8df&subj=ACCT&crse_numb=3327&start_term=&end_term=&term_year=20234,5,"Introduces basic principles of cost accounting as applied to materials, labor, and manufacturing overhead.","Add to calendar
                
                 
                
                    Restrictions: Accounting Majors, Minors, Concentrations only.  Freshman students are excluded.
                
                
                
                
                
                
                    Attributes: Upper-Division
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term
                
                
                
                    
                    Prerequisites: ACCT 2362: C- or better"
Accounting,https://spu.edu/undergraduate-time-schedule/subjects/ACCT?,"ACCT 3324: Federal Income Taxation
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=1b589931ecdf8eef1c2a682732cd8bc7&subj=ACCT&crse_numb=3324&start_term=&end_term=&term_year=20234,5,"Provides an introduction to the income tax structure and basic concepts of tax law relating to individual, corporate, partnership, and estate income taxation. Emphasizes a practical application of tax law enabling the student to understand and apply the concepts of income, exemptions, and deductions.","Add to calendar
                
                 
                
                    Restrictions: Accounting Majors, Minors, Concentrations only.  Freshman students are excluded.
                
                
                
                
                
                
                    Attributes: Upper-Division
                
                
                    Grade Modes: (Default) Normal Grading
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term
                
                
                
                    
                    Prerequisites: ACCT 2361: C- or better"
Accounting,https://spu.edu/undergraduate-time-schedule/subjects/ACCT?,"ACCT 3351: Intermediate Accounting I
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=ca5cfc1588c390d4826bef72042aaee5&subj=ACCT&crse_numb=3351&start_term=&end_term=&term_year=20234,5,"Studies the concepts and principles of accounting related to recognition, valuation, and classification of economic events. Includes issues related to the measurement of income.","Add to calendar
                
                 
                
                    Restrictions: Accounting Majors, Minors, Concentrations only.  Freshman students are excluded.
                
                
                
                
                
                
                    Attributes: Upper-Division
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term
                
                
                
                    
                    Prerequisites: ACCT 2362: C- or better"
Accounting,https://spu.edu/undergraduate-time-schedule/subjects/ACCT?,"ACCT 3328: Auditing
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=2042b19a0c53fa6a9f48d1adfd08de3f&subj=ACCT&crse_numb=3328&start_term=&end_term=&term_year=20234,5,"Studies auditing theory, concepts, and practices used to evaluate evidence and attest to an entity's financial statements. Includes examination of the use of technology in the audit process, current issues in public accounting, and ethical considerations.","Add to calendar
                
                 
                
                    Restrictions: Accounting majors only.  Freshman, Sophomore students are excluded.
                
                
                
                
                
                
                    Attributes: Upper-Division
                
                
                    Grade Modes: (Default) Normal Grading
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term
                
                
                
                    
                    Prerequisites: ACCT 3352 can be taken concurrently: C- or better"
Accounting,https://spu.edu/undergraduate-time-schedule/subjects/ACCT?,"ACCT 3352: Intermediate Accounting II
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=86dc5464c6401f0d92485081a8c67501&subj=ACCT&crse_numb=3352&start_term=&end_term=&term_year=20234,5,Expands on concepts and principles introduced in ACCT 3351.,"Add to calendar
                
                 
                
                    Restrictions: Accounting Majors, Minors, Concentrations only.  Freshman students are excluded.
                
                
                
                
                
                
                    Attributes: Upper-Division
                
                
                    Grade Modes: (Default) Normal Grading
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term
                
                
                
                    
                    Prerequisites: ACCT 3351: C- or better"
Accounting,https://spu.edu/undergraduate-time-schedule/subjects/ACCT?,"ACCT 3353: Advanced Accounting
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=331026cd6b51e64bd7978cefa5ed13d8&subj=ACCT&crse_numb=3353&start_term=&end_term=&term_year=20234,5,"Continuation of 3352. Strongly recommended for CPA exam eligibility. Examines some intermediate accounting topics, business combinations, and miscellaneous topics. Typically offered: Alternate Years.","Add to calendar
                
                 
                
                    Restrictions: Accounting majors only.  Freshman students are excluded.
                
                
                
                
                
                
                    Attributes: Upper-Division
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term
                
                
                
                    
                    Prerequisites: ACCT 3352: C- or better"
Accounting,https://spu.edu/undergraduate-time-schedule/subjects/ACCT?,"ACCT 4899: Capstone: Accounting Theory and Problems
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=53f9df54bc68a5f4572337e95505dfc4&subj=ACCT&crse_numb=4899&start_term=&end_term=&term_year=20234,5,"Critically examines problem areas of current interest in financial accounting. Emphasizes investigating the ""whys"" behind today's generally accepted accounting principles and explores alternative approaches to the study and development of accounting theory. Several problems or contentious theoretical issues facing the accounting profession are examined in depth with the objective of having the student form a well-reasoned position on the matter.","Add to calendar
                
                 
                
                    Restrictions: Accounting majors only.  Freshman, Sophomore students are excluded.
                
                
                
                
                
                
                    Attributes: Writing ""W"" Course, Upper-Division
                
                
                    Grade Modes: (Default) Normal Grading, Audit, Pass/No Credit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term
                
                
                
                    
                    Prerequisites: ACCT 3352: C- or better"
Accounting,https://spu.edu/undergraduate-time-schedule/subjects/ACCT?,"ACCT 3370: Accounting Information Systems
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=2d35dc657e9fa1779b8ac05be3b546d0&subj=ACCT&crse_numb=3370&start_term=&end_term=&term_year=20234,5,"Considers accounting information systems as part of the accounting and finance functions. Examines business processes, transaction processing, systems analysis, design, and development, data modeling, databases, internal control, advanced excel, and data analytics.","Add to calendar
                
                 
                
                    Restrictions: Accounting Majors, Minors, Concentrations only.  Freshman, Sophomore students are excluded.
                
                
                
                
                
                
                    Attributes: Upper-Division
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term
                
                
                
                    
                    Prerequisites: ACCT 2362: C- or better"
